order_id,customer_id,order_date,product_id,quantity,status,payment_method,total_amount
ORD-00000073,CUST-000107,2025-06-04,PROD-00198,5,cancelled,PayPal,284.15
ORD-00000074,CUST-000361,2025-12-01,PROD-00140,3,cancelled,Credit Card,1664.16
ORD-00000075,CUST-000702,2025-05-18,PROD-00119,4,cancelled,Credit Card,1626.77
ORD-00000076,CUST-000065,2025-08-21,PROD-00184,4,completed,PayPal,419.15
ORD-00000077,CUST-000811,2025-03-11,PROD-00052,1,pending,PayPal,1040.46
ORD-00000078,CUST-000835,2025-08-30,PROD-00140,4,pending,Credit Card,1511.52
ORD-00000079,CUST-000196,2025-09-02,PROD-00074,3,completed,Debit Card,677.21
ORD-00000080,CUST-000128,2025-08-27,PROD-00095,4,pending,Debit Card,890.68
ORD-00000081,CUST-000980,2026-01-27,PROD-00099,3,completed,PayPal,1390.3
ORD-00000082,CUST-000377,2025-06-06,PROD-00133,3,completed,Debit Card,860.51
ORD-00000083,CUST-000441,2025-07-12,PROD-00155,2,cancelled,PayPal,656.0
ORD-00000084,CUST-000082,2025-11-26,PROD-00084,3,pending,PayPal,1213.19
ORD-00000085,CUST-000437,2026-02-05,PROD-00043,4,pending,PayPal,103.86
ORD-00000086,CUST-000891,2025-03-09,PROD-00091,5,pending,PayPal,1286.15
ORD-00000087,CUST-000811,2026-02-02,PROD-00015,1,cancelled,Debit Card,824.3
ORD-00000088,CUST-000526,2026-01-10,PROD-00192,2,completed,Credit Card,1700.37
ORD-00000089,CUST-000695,2025-11-16,PROD-00113,1,completed,Credit Card,487.27
ORD-00000090,CUST-000661,2025-07-29,PROD-00094,3,pending,Debit Card,84.12
ORD-00000091,CUST-000158,2025-06-03,PROD-00174,4,pending,PayPal,899.0
ORD-00000092,CUST-000079,2026-01-09,PROD-00147,2,cancelled,PayPal,808.11
ORD-00000093,CUST-000666,2025-06-17,PROD-00072,2,completed,Credit Card,1476.64
ORD-00000094,CUST-000512,2025-06-29,PROD-00133,4,cancelled,Credit Card,538.32
ORD-00000095,CUST-000267,2025-04-23,PROD-00181,4,completed,Debit Card,585.44
ORD-00000096,CUST-000939,2025-06-07,PROD-00126,2,completed,Credit Card,1708.6
ORD-00000097,CUST-000463,2025-08-19,PROD-00045,4,completed,Debit Card,1935.77
ORD-00000098,CUST-000328,2025-05-14,PROD-00171,3,cancelled,Credit Card,1108.99
ORD-00000099,CUST-000298,2025-04-24,PROD-00077,2,cancelled,Debit Card,1856.1
ORD-00000100,CUST-000654,2026-01-31,PROD-00045,3,cancelled,Credit Card,260.3
ORD-00000101,CUST-000206,2025-05-27,PROD-00036,2,pending,Credit Card,734.58
ORD-00000102,CUST-000587,2025-10-01,PROD-00095,4,cancelled,Credit Card,1231.66
ORD-00000103,CUST-000089,2025-04-01,PROD-00017,3,pending,Debit Card,1443.36
ORD-00000104,CUST-000539,2025-05-17,PROD-00106,4,cancelled,Credit Card,268.15
ORD-00000105,CUST-000325,2025-06-03,PROD-00165,1,pending,PayPal,1366.62
ORD-00000106,CUST-000353,2025-03-29,PROD-00033,5,cancelled,Debit Card,380.29
ORD-00000107,CUST-000990,2025-09-12,PROD-00034,4,cancelled,Credit Card,1666.15
ORD-00000108,CUST-000531,2025-08-27,PROD-00040,3,completed,Credit Card,658.87
ORD-00000109,CUST-000727,2025-04-24,PROD-00058,3,cancelled,PayPal,1694.95
ORD-00000110,CUST-000257,2025-09-29,PROD-00051,5,pending,Credit Card,1257.54
ORD-00000111,CUST-000630,2025-03-08,PROD-00137,1,cancelled,Debit Card,353.9
ORD-00000112,CUST-000965,2026-01-13,PROD-00149,2,completed,Debit Card,1256.47
ORD-00000113,CUST-000924,2025-09-06,PROD-00155,3,cancelled,Credit Card,1653.97
ORD-00000114,CUST-000030,2025-05-04,PROD-00021,1,cancelled,Debit Card,544.02
ORD-00000115,CUST-000216,2025-08-19,PROD-00197,5,pending,Debit Card,1285.2
ORD-00000116,CUST-000510,2025-12-19,PROD-00161,5,pending,Debit Card,1914.17
ORD-00000117,CUST-000495,2025-07-07,PROD-00063,4,pending,PayPal,164.49
ORD-00000118,CUST-000062,2025-06-05,PROD-00041,4,pending,PayPal,939.6
ORD-00000119,CUST-000349,2026-02-03,PROD-00156,2,pending,Debit Card,652.25
ORD-00000120,CUST-000882,2025-07-28,PROD-00089,4,completed,PayPal,1039.66
ORD-00000121,CUST-000109,2025-08-03,PROD-00082,2,pending,Credit Card,549.59
ORD-00000122,CUST-000254,2025-04-09,PROD-00037,1,completed,PayPal,1891.86
ORD-00000123,CUST-000885,2025-08-07,PROD-00158,4,completed,Credit Card,1630.69
ORD-00000124,CUST-000957,2026-01-23,PROD-00148,3,completed,Credit Card,1006.57
ORD-00000125,CUST-000528,2025-11-11,PROD-00120,4,pending,PayPal,65.89
ORD-00000126,CUST-000968,2026-01-24,PROD-00101,5,pending,Credit Card,445.99
ORD-00000127,CUST-000362,2025-04-06,PROD-00013,1,pending,PayPal,1203.09
ORD-00000128,CUST-000864,2026-01-13,PROD-00168,4,pending,Debit Card,36.19
ORD-00000129,CUST-000111,2025-08-21,PROD-00111,2,pending,Debit Card,744.24
ORD-00000130,CUST-000413,2025-03-25,PROD-00094,1,pending,Credit Card,1149.16
ORD-00000131,CUST-000200,2025-04-13,PROD-00093,5,pending,Credit Card,784.97
ORD-00000132,CUST-000462,2025-06-03,PROD-00196,5,pending,Debit Card,1367.19
ORD-00000133,CUST-000122,2025-10-24,PROD-00033,1,pending,PayPal,1593.9
ORD-00000134,CUST-000348,2026-02-11,PROD-00143,3,completed,Credit Card,1212.88
ORD-00000135,CUST-000412,2025-12-13,PROD-00129,1,completed,Credit Card,291.33
ORD-00000136,CUST-000342,2025-11-21,PROD-00122,5,pending,Credit Card,1220.4
ORD-00000137,CUST-000528,2025-05-14,PROD-00036,3,cancelled,PayPal,341.75
ORD-00000138,CUST-000632,2025-03-21,PROD-00190,3,cancelled,PayPal,1024.48
ORD-00000139,CUST-000522,2025-04-20,PROD-00137,4,cancelled,Debit Card,613.59
ORD-00000140,CUST-000836,2025-06-24,PROD-00005,3,pending,Debit Card,237.02
ORD-00000141,CUST-000427,2025-08-06,PROD-00150,3,cancelled,Debit Card,1265.94
ORD-00000142,CUST-000612,2025-11-18,PROD-00122,3,cancelled,Debit Card,1163.72
ORD-00000143,CUST-000739,2025-10-25,PROD-00014,5,pending,Credit Card,1057.98
ORD-00000144,CUST-000739,2025-03-21,PROD-00159,4,completed,Debit Card,499.55
ORD-00000145,CUST-000587,2025-10-31,PROD-00180,1,completed,Credit Card,893.26
ORD-00000146,CUST-000429,2026-01-14,PROD-00039,4,cancelled,Credit Card,832.55
ORD-00000147,CUST-000794,2025-03-08,PROD-00157,4,cancelled,Debit Card,143.32
ORD-00000148,CUST-000142,2025-03-30,PROD-00133,2,cancelled,PayPal,1996.28
ORD-00000149,CUST-000490,2025-11-07,PROD-00135,4,pending,Credit Card,930.13
ORD-00000150,CUST-000546,2025-08-31,PROD-00088,5,pending,Debit Card,1548.54
ORD-00000151,CUST-000739,2025-05-02,PROD-00175,3,cancelled,PayPal,400.68
ORD-00000152,CUST-000253,2025-09-14,PROD-00072,5,pending,Credit Card,1884.14
ORD-00000153,CUST-000305,2025-12-25,PROD-00198,3,cancelled,Credit Card,1386.68
ORD-00000154,CUST-000501,2025-10-09,PROD-00082,4,pending,Debit Card,1868.73
ORD-00000155,CUST-000815,2026-02-04,PROD-00185,3,pending,Credit Card,1155.48
ORD-00000156,CUST-000557,2025-10-09,PROD-00098,4,pending,Credit Card,595.1
ORD-00000157,CUST-000295,2025-05-23,PROD-00183,1,pending,PayPal,1318.82
ORD-00000158,CUST-000766,2025-09-24,PROD-00123,2,completed,Debit Card,556.84
ORD-00000159,CUST-000576,2026-01-07,PROD-00179,3,completed,Credit Card,1239.04
ORD-00000160,CUST-000601,2025-05-13,PROD-00062,2,completed,Debit Card,1812.26
ORD-00000161,CUST-000232,2025-05-04,PROD-00164,2,completed,Credit Card,838.34
ORD-00000162,CUST-000735,2025-08-13,PROD-00121,1,cancelled,Credit Card,30.26
ORD-00000163,CUST-000564,2025-08-18,PROD-00041,4,cancelled,PayPal,965.35
ORD-00000164,CUST-000205,2025-05-01,PROD-00194,3,pending,PayPal,1298.88
ORD-00000165,CUST-000930,2025-08-22,PROD-00197,1,cancelled,Debit Card,479.8
ORD-00000166,CUST-000757,2025-04-11,PROD-00186,1,completed,PayPal,1766.85
ORD-00000167,CUST-000181,2025-10-12,PROD-00010,4,pending,Credit Card,1874.49
ORD-00000168,CUST-000986,2025-03-26,PROD-00075,1,completed,PayPal,1144.56
ORD-00000169,CUST-000110,2025-08-29,PROD-00086,3,pending,Debit Card,1095.73
ORD-00000170,CUST-000506,2025-11-13,PROD-00035,5,pending,PayPal,401.77
ORD-00000171,CUST-000116,2025-05-11,PROD-00085,2,cancelled,PayPal,1303.6
ORD-00000172,CUST-000736,2025-07-30,PROD-00048,1,cancelled,PayPal,1585.72
ORD-00000173,CUST-000582,2025-08-20,PROD-00173,2,completed,Debit Card,1715.17
ORD-00000174,CUST-000919,2025-10-03,PROD-00104,4,cancelled,PayPal,191.74
ORD-00000175,CUST-000686,2025-11-08,PROD-00025,2,completed,PayPal,660.73
ORD-00000176,CUST-000255,2025-03-08,PROD-00002,3,pending,Credit Card,904.54
ORD-00000177,CUST-000274,2025-10-31,PROD-00085,3,cancelled,Debit Card,1154.3
ORD-00000178,CUST-000268,2025-10-04,PROD-00168,3,cancelled,Credit Card,143.01
ORD-00000179,CUST-000122,2025-10-10,PROD-00120,3,completed,PayPal,1378.43
ORD-00000180,CUST-000946,2025-05-18,PROD-00181,3,cancelled,Credit Card,1284.65
ORD-00000181,CUST-000964,2025-06-29,PROD-00076,3,cancelled,Credit Card,453.87
ORD-00000182,CUST-000137,2025-09-04,PROD-00123,2,pending,Debit Card,1977.9
ORD-00000183,CUST-000383,2026-02-06,PROD-00107,5,pending,Debit Card,1607.95
ORD-00000184,CUST-000846,2026-01-09,PROD-00056,2,cancelled,Debit Card,1748.81
ORD-00000185,CUST-000084,2025-12-26,PROD-00135,4,cancelled,Debit Card,736.33
ORD-00000186,CUST-000940,2026-01-08,PROD-00145,1,completed,Debit Card,1807.72
ORD-00000187,CUST-000208,2025-10-24,PROD-00147,5,completed,Credit Card,669.67
ORD-00000188,CUST-000533,2025-08-20,PROD-00114,1,cancelled,Credit Card,1439.5
ORD-00000189,CUST-000501,2025-10-10,PROD-00024,5,pending,Credit Card,917.8
ORD-00000190,CUST-000526,2025-09-28,PROD-00107,4,cancelled,Credit Card,1126.42
ORD-00000191,CUST-000689,2025-09-08,PROD-00079,1,pending,PayPal,1636.58
ORD-00000192,CUST-000764,2025-06-10,PROD-00056,5,completed,Credit Card,858.92
ORD-00000193,CUST-000718,2025-05-13,PROD-00017,5,completed,Credit Card,1972.55
ORD-00000194,CUST-000484,2026-02-09,PROD-00009,3,pending,Credit Card,1542.56
ORD-00000195,CUST-000785,2026-01-16,PROD-00165,4,pending,PayPal,908.1
ORD-00000196,CUST-000940,2025-11-28,PROD-00097,4,completed,Debit Card,1929.01
ORD-00000197,CUST-000896,2025-07-25,PROD-00139,2,cancelled,PayPal,254.89
ORD-00000198,CUST-000551,2025-08-04,PROD-00101,5,completed,Debit Card,1957.87
ORD-00000199,CUST-000855,2025-05-23,PROD-00001,1,pending,PayPal,1353.53
ORD-00000200,CUST-000558,2025-07-27,PROD-00109,5,pending,Credit Card,510.07
ORD-00000201,CUST-000355,2025-04-27,PROD-00040,3,completed,Debit Card,1535.67
ORD-00000202,CUST-000033,2026-02-07,PROD-00170,4,cancelled,Credit Card,496.52
ORD-00000203,CUST-000069,2025-10-21,PROD-00026,5,completed,PayPal,1203.61
ORD-00000204,CUST-000721,2025-06-29,PROD-00013,2,cancelled,Credit Card,816.49
ORD-00000205,CUST-000240,2025-07-17,PROD-00139,2,completed,Credit Card,1017.71
ORD-00000206,CUST-000297,2025-04-09,PROD-00060,5,pending,Debit Card,1203.88
ORD-00000207,CUST-000689,2026-01-10,PROD-00083,2,pending,Credit Card,1971.68
ORD-00000208,CUST-000534,2025-12-26,PROD-00057,4,pending,PayPal,140.7
ORD-00000209,CUST-000972,2026-01-04,PROD-00152,2,cancelled,Debit Card,865.86
ORD-00000210,CUST-000508,2025-09-29,PROD-00013,3,cancelled,Debit Card,774.69
ORD-00000211,CUST-000538,2025-10-31,PROD-00082,4,pending,Credit Card,613.78
ORD-00000212,CUST-000189,2025-03-04,PROD-00194,5,pending,Credit Card,1701.7
ORD-00000213,CUST-000308,2025-05-31,PROD-00182,2,pending,Credit Card,1133.52
ORD-00000214,CUST-000992,2025-05-11,PROD-00107,5,cancelled,Credit Card,789.07
ORD-00000215,CUST-000262,2025-12-30,PROD-00053,3,cancelled,Credit Card,1846.01
ORD-00000216,CUST-000868,2025-07-21,PROD-00095,1,cancelled,Debit Card,1662.22
ORD-00000217,CUST-000053,2025-09-15,PROD-00069,4,cancelled,Debit Card,1213.79
ORD-00000218,CUST-000895,2025-06-20,PROD-00019,2,cancelled,Debit Card,1349.47
ORD-00000219,CUST-000223,2025-10-27,PROD-00123,2,pending,PayPal,1914.9
ORD-00000220,CUST-000016,2025-07-22,PROD-00055,2,cancelled,Credit Card,1498.82
ORD-00000221,CUST-000773,2025-12-15,PROD-00123,2,cancelled,Debit Card,1413.46
ORD-00000222,CUST-000407,2025-07-27,PROD-00062,5,pending,PayPal,773.71
ORD-00000223,CUST-000547,2025-05-28,PROD-00167,3,pending,PayPal,732.1
ORD-00000224,CUST-000904,2025-03-13,PROD-00128,4,completed,Debit Card,949.59
ORD-00000225,CUST-000860,2025-08-18,PROD-00082,2,pending,PayPal,839.58
ORD-00000226,CUST-000577,2025-05-13,PROD-00057,2,completed,PayPal,1115.56
ORD-00000227,CUST-000599,2025-10-12,PROD-00149,4,pending,Credit Card,408.46
ORD-00000228,CUST-000236,2025-03-10,PROD-00098,5,completed,PayPal,1110.27
ORD-00000229,CUST-000967,2025-08-04,PROD-00176,3,pending,PayPal,1933.69
ORD-00000230,CUST-000658,2025-05-13,PROD-00190,4,pending,Credit Card,1470.89
ORD-00000231,CUST-000361,2026-01-08,PROD-00044,2,cancelled,Debit Card,986.87
ORD-00000232,CUST-000939,2025-09-06,PROD-00139,1,cancelled,Credit Card,1681.36
ORD-00000233,CUST-000077,2025-12-04,PROD-00172,1,completed,PayPal,292.23
ORD-00000234,CUST-000646,2025-04-03,PROD-00060,1,cancelled,Credit Card,38.1
ORD-00000235,CUST-000518,2026-02-11,PROD-00117,3,completed,Debit Card,1282.7
ORD-00000236,CUST-000957,2025-10-03,PROD-00158,4,cancelled,PayPal,51.15
ORD-00000237,CUST-000545,2025-04-10,PROD-00142,4,completed,Credit Card,1068.25
ORD-00000238,CUST-000282,2025-09-07,PROD-00138,3,completed,Debit Card,1630.05
ORD-00000239,CUST-000691,2026-02-04,PROD-00111,2,completed,Credit Card,1058.28
ORD-00000240,CUST-000247,2025-03-01,PROD-00050,5,cancelled,PayPal,1634.12
ORD-00000241,CUST-000274,2025-07-10,PROD-00102,1,pending,PayPal,928.82
ORD-00000242,CUST-000250,2025-12-04,PROD-00179,2,pending,Debit Card,1659.56
ORD-00000243,CUST-000083,2025-06-23,PROD-00168,1,completed,PayPal,770.94
ORD-00000244,CUST-000566,2025-07-01,PROD-00122,1,cancelled,Credit Card,1411.63
ORD-00000245,CUST-000085,2025-11-29,PROD-00128,4,cancelled,PayPal,1140.4
ORD-00000246,CUST-000879,2025-03-17,PROD-00025,5,completed,Credit Card,438.61
ORD-00000247,CUST-000889,2025-03-12,PROD-00178,5,pending,PayPal,112.19
ORD-00000248,CUST-000077,2025-05-10,PROD-00176,3,cancelled,Debit Card,1323.06
ORD-00000249,CUST-000184,2025-09-05,PROD-00081,1,completed,Debit Card,305.5
ORD-00000250,CUST-000841,2026-02-17,PROD-00183,4,completed,PayPal,341.65
ORD-00000251,CUST-000247,2025-12-25,PROD-00146,4,cancelled,Debit Card,676.83
ORD-00000252,CUST-000774,2025-07-16,PROD-00190,2,cancelled,Debit Card,175.29
ORD-00000253,CUST-000764,2025-11-11,PROD-00089,1,completed,PayPal,479.65
ORD-00000254,CUST-000078,2025-06-08,PROD-00088,5,cancelled,Debit Card,805.47
ORD-00000255,CUST-000793,2025-04-22,PROD-00084,1,cancelled,PayPal,1571.43
ORD-00000256,CUST-000462,2025-07-08,PROD-00126,2,pending,Debit Card,1883.46
ORD-00000257,CUST-000443,2025-07-23,PROD-00048,5,cancelled,PayPal,189.67
ORD-00000258,CUST-000634,2025-09-12,PROD-00076,2,cancelled,Credit Card,182.44
ORD-00000259,CUST-000158,2025-05-24,PROD-00098,2,cancelled,PayPal,647.02
ORD-00000260,CUST-000110,2025-02-26,PROD-00024,1,pending,PayPal,732.64
ORD-00000261,CUST-000277,2025-12-28,PROD-00027,2,completed,Credit Card,873.34
ORD-00000262,CUST-000571,2025-11-25,PROD-00143,5,pending,Credit Card,72.0
ORD-00000263,CUST-000363,2025-09-02,PROD-00142,1,cancelled,Debit Card,1573.19
ORD-00000264,CUST-000885,2025-08-24,PROD-00099,1,pending,PayPal,787.84
ORD-00000265,CUST-000087,2025-12-08,PROD-00186,5,completed,Debit Card,1051.79
ORD-00000266,CUST-000702,2025-03-09,PROD-00098,2,completed,PayPal,616.24
ORD-00000267,CUST-000505,2025-06-05,PROD-00038,1,completed,PayPal,566.4
ORD-00000268,CUST-000307,2025-03-02,PROD-00124,1,pending,PayPal,1889.56
ORD-00000269,CUST-000739,2025-10-11,PROD-00161,4,cancelled,Debit Card,407.19
ORD-00000270,CUST-000110,2025-10-31,PROD-00035,3,completed,PayPal,677.79
ORD-00000271,CUST-000636,2025-03-06,PROD-00098,3,pending,PayPal,872.62
ORD-00000272,CUST-000844,2025-11-23,PROD-00167,5,completed,PayPal,654.92
ORD-00000273,CUST-000971,2025-12-16,PROD-00178,2,pending,PayPal,371.72
ORD-00000274,CUST-000408,2025-07-10,PROD-00082,3,cancelled,Debit Card,1273.15
ORD-00000275,CUST-000991,2025-07-18,PROD-00148,2,pending,PayPal,574.99
ORD-00000276,CUST-000805,2025-12-18,PROD-00101,3,completed,Debit Card,415.6
ORD-00000277,CUST-000559,2026-01-08,PROD-00047,5,completed,Debit Card,934.01
ORD-00000278,CUST-000726,2026-01-03,PROD-00054,4,pending,Debit Card,156.93
ORD-00000279,CUST-000869,2025-03-22,PROD-00105,4,completed,Debit Card,619.61
ORD-00000280,CUST-000259,2025-08-25,PROD-00169,2,cancelled,PayPal,1582.37
ORD-00000281,CUST-000076,2025-11-06,PROD-00115,5,pending,Debit Card,813.59
ORD-00000282,CUST-000519,2025-11-17,PROD-00178,4,cancelled,Credit Card,1585.63
ORD-00000283,CUST-000369,2025-03-01,PROD-00180,5,cancelled,Debit Card,1830.51
ORD-00000284,CUST-000112,2025-11-20,PROD-00197,2,cancelled,Debit Card,722.92
ORD-00000285,CUST-000663,2025-09-08,PROD-00157,1,cancelled,Debit Card,1361.39
ORD-00000286,CUST-000410,2026-01-24,PROD-00193,3,pending,Credit Card,40.88
ORD-00000287,CUST-000265,2025-03-28,PROD-00057,5,cancelled,Debit Card,1124.83
ORD-00000288,CUST-000705,2025-09-25,PROD-00148,2,pending,PayPal,794.45
ORD-00000289,CUST-000791,2025-07-15,PROD-00174,5,cancelled,Debit Card,318.47
ORD-00000290,CUST-000026,2025-12-23,PROD-00124,1,pending,PayPal,1842.68
ORD-00000291,CUST-000088,2026-01-02,PROD-00030,2,pending,PayPal,699.27
ORD-00000292,CUST-000804,2025-12-06,PROD-00053,5,pending,PayPal,962.8
ORD-00000293,CUST-000449,2025-07-27,PROD-00185,4,pending,Credit Card,614.52
ORD-00000294,CUST-000830,2025-11-21,PROD-00182,1,completed,PayPal,1302.98
ORD-00000295,CUST-000694,2025-06-12,PROD-00043,2,cancelled,Credit Card,1112.78
ORD-00000296,CUST-000339,2025-08-08,PROD-00144,4,pending,Credit Card,1599.56
ORD-00000297,CUST-000645,2025-03-30,PROD-00048,2,cancelled,Debit Card,875.63
ORD-00000298,CUST-000030,2026-02-11,PROD-00189,5,completed,PayPal,1192.56
ORD-00000299,CUST-000399,2025-09-20,PROD-00002,2,completed,PayPal,1509.6
ORD-00000300,CUST-000829,2025-07-09,PROD-00017,5,completed,Debit Card,390.18
ORD-00000301,CUST-000334,2025-07-29,PROD-00051,4,completed,PayPal,1347.99
ORD-00000302,CUST-000502,2025-05-14,PROD-00136,3,cancelled,PayPal,1230.39
ORD-00000303,CUST-000602,2025-07-20,PROD-00030,3,pending,PayPal,1242.38
ORD-00000304,CUST-000834,2025-06-03,PROD-00173,3,cancelled,Debit Card,187.81
ORD-00000305,CUST-000138,2025-06-06,PROD-00081,1,completed,PayPal,251.56
ORD-00000306,CUST-000383,2025-11-06,PROD-00178,2,cancelled,PayPal,848.11
ORD-00000307,CUST-000142,2025-08-26,PROD-00148,4,pending,Credit Card,983.61
ORD-00000308,CUST-000551,2025-07-11,PROD-00178,2,cancelled,Credit Card,989.49
ORD-00000309,CUST-000144,2026-02-20,PROD-00048,3,pending,Debit Card,126.15
ORD-00000310,CUST-000368,2025-11-15,PROD-00003,4,completed,Credit Card,1634.13
